,driver_standings)_id,race_id,driver_id,points,position,position_text,wins
709,12840,54,15,0.0,13,13,0
710,12839,54,22,0.0,14,14,0
711,12838,54,23,1.0,11,11,0
712,12837,54,26,0.0,20,20,0
713,12836,54,2,0.0,18,18,0
714,12835,54,24,0.0,16,16,0
715,12834,54,14,0.0,15,15,0
716,12833,54,13,4.0,7,7,0
717,12832,54,32,1.0,12,12,0
718,12831,54,3,2.0,9,9,0
719,12830,54,17,3.0,8,8,0
720,12829,54,31,9.0,5,5,0
721,12828,54,18,11.0,3,3,0
722,12827,54,8,6.0,6,6,0
723,12826,54,30,11.0,2,2,0
724,12825,54,4,18.0,1,1,1
725,12867,55,34,0.0,22,22,0
726,12866,55,27,0.0,19,19,0
727,12865,55,35,5.0,9,9,0
728,12864,55,21,14.0,2,2,1
729,12863,55,11,0.0,20,20,0
730,12862,55,33,0.0,21,21,0
731,12861,55,15,0.0,17,17,0
732,12860,55,22,2.0,12,12,0
733,12859,55,23,7.0,7,7,0
734,12858,55,26,0.0,16,16,0
735,12857,55,2,5.0,8,8,0
736,12856,55,24,0.0,18,18,0
737,12855,55,14,1.0,14,14,0
738,12854,55,13,4.0,10,10,0
739,12853,55,32,1.0,15,15,0
740,12852,55,3,2.0,13,13,0
741,12851,55,17,3.0,11,11,0
742,12850,55,31,9.0,6,6,0
743,12849,55,18,11.0,5,5,0
744,12848,55,8,14.0,3,3,0
745,12847,55,30,11.0,4,4,0
746,12846,55,4,28.0,1,1,2
747,12889,56,34,0.0,22,22,0
748,12888,56,27,0.0,19,19,0
749,12887,56,35,5.0,11,11,0
750,12886,56,21,15.0,4,4,1
751,12885,56,11,0.0,20,20,0
752,12884,56,33,0.0,21,21,0
753,12883,56,15,0.0,17,17,0
754,12882,56,22,2.0,12,12,0
755,12881,56,23,7.0,8,8,0
756,12880,56,26,0.0,16,16,0
757,12879,56,2,5.0,10,10,0
758,12878,56,24,0.0,18,18,0
759,12877,56,14,1.0,14,14,0
760,12876,56,13,9.0,7,7,0
761,12875,56,32,1.0,15,15,0
762,12874,56,3,2.0,13,13,0
763,12873,56,17,6.0,9,9,0
764,12872,56,31,15.0,5,5,0
765,12871,56,18,13.0,6,6,0
766,12870,56,8,18.0,3,3,0
767,12869,56,30,21.0,2,2,1
768,12868,56,4,36.0,1,1,2
769,12911,57,34,0.0,22,22,0
770,12910,57,27,0.0,19,19,0
771,12909,57,35,6.0,11,11,0
772,12908,57,21,18.0,4,4,1
773,12907,57,11,0.0,21,21,0
774,12906,57,33,0.0,20,20,0
775,12905,57,15,0.0,16,16,0
776,12904,57,22,6.0,9,9,0
777,12903,57,23,7.0,8,8,0
778,12902,57,26,0.0,17,17,0
779,12901,57,2,5.0,12,12,0
780,12900,57,24,0.0,18,18,0
781,12899,57,14,1.0,14,14,0
782,12898,57,13,15.0,5,5,0
783,12897,57,32,1.0,15,15,0
784,12896,57,3,4.0,13,13,0
785,12895,57,17,6.0,10,10,0
786,12894,57,31,15.0,6,6,0
787,12893,57,18,13.0,7,7,0
788,12892,57,8,23.0,3,3,0
789,12891,57,30,31.0,2,2,2
790,12890,57,4,44.0,1,1,2
791,12933,58,34,0.0,22,22,0
792,12932,58,27,0.0,19,19,0
793,12931,58,35,6.0,12,12,0
794,12930,58,21,24.0,4,4,1
795,12929,58,11,0.0,21,21,0
796,12928,58,33,0.0,20,20,0
797,12927,58,15,0.0,16,16,0
798,12926,58,22,8.0,8,8,0
799,12925,58,23,7.0,9,9,0
800,12924,58,26,0.0,17,17,0
801,12923,58,2,6.0,10,10,0
802,12922,58,24,0.0,18,18,0
803,12921,58,14,1.0,14,14,0
